,brief,full
REACTOME_METAL_ION_SLC_TRANSPORTERS,Metal ion SLC transporters, 
REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS,Metal sequestration by antimicrobial proteins, 
REACTOME_METALLOPROTEASE_DUBS,Metalloprotease DUBs, 
REACTOME_METALLOTHIONEINS_BIND_METALS,Metallothioneins bind metals, 
REACTOME_METHIONINE_SALVAGE_PATHWAY,Methionine salvage pathway, 
REACTOME_METHYLATION,Methylation, 
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,MHC class II antigen presentation, 
REACTOME_MICRORNA_MIRNA_BIOGENESIS,MicroRNA (miRNA) biogenesis, 
REACTOME_MINERALOCORTICOID_BIOSYNTHESIS,Mineralocorticoid biosynthesis, 
REACTOME_MIRO_GTPASE_CYCLE,Miro GTPase Cycle, 
REACTOME_MISCELLANEOUS_SUBSTRATES,Miscellaneous substrates, 
REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS,Miscellaneous transport and binding events, 
REACTOME_MISMATCH_REPAIR,Mismatch Repair, 
REACTOME_MITOCHONDRIAL_BIOGENESIS,Mitochondrial biogenesis, 
REACTOME_MITOCHONDRIAL_CALCIUM_ION_TRANSPORT,Mitochondrial calcium ion transport, 
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,Mitochondrial Fatty Acid Beta-Oxidation, 
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS,mitochondrial fatty acid beta-oxidation of saturated fatty acids, 
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_UNSATURATED_FATTY_ACIDS,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids, 
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS,Mitochondrial iron-sulfur cluster biogenesis, 
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,Mitochondrial protein import, 
REACTOME_MITOCHONDRIAL_TRANSLATION,Mitochondrial translation, 
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION,Mitochondrial tRNA aminoacylation, 
REACTOME_MITOCHONDRIAL_UNCOUPLING,Mitochondrial Uncoupling, 
REACTOME_MITOPHAGY,Mitophagy, 
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,Mitotic G1 phase and G1/S transition, 
REACTOME_MITOTIC_G2_G2_M_PHASES,Mitotic G2-G2/M phases, 
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,Mitotic Metaphase and Anaphase, 
REACTOME_MITOTIC_PROMETAPHASE,Mitotic Prometaphase, 
REACTOME_MITOTIC_PROPHASE,Mitotic Prophase, 
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,Mitotic Spindle Checkpoint, 
REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS,Mitotic Telophase/Cytokinesis, 
REACTOME_MODULATION_BY_MTB_OF_HOST_IMMUNE_SYSTEM,Modulation by Mtb of host immune system, 
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,Molecules associated with elastic fibres, 
REACTOME_MOLYBDENUM_COFACTOR_BIOSYNTHESIS,Molybdenum cofactor biosynthesis, 
REACTOME_MRNA_CAPPING,mRNA Capping, 
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,mRNA decay by 3' to 5' exoribonuclease, 
REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE,mRNA decay by 5' to 3' exoribonuclease, 
REACTOME_MRNA_EDITING,mRNA Editing, 
REACTOME_MRNA_EDITING_C_TO_U_CONVERSION,mRNA Editing: C to U Conversion, 
REACTOME_MRNA_SPLICING,mRNA Splicing, 
REACTOME_MRNA_SPLICING_MINOR_PATHWAY,mRNA Splicing - Minor Pathway, 
REACTOME_MTOR_SIGNALLING,MTOR signalling, 
REACTOME_MTORC1_MEDIATED_SIGNALLING,mTORC1-mediated signalling, 
REACTOME_MUCOPOLYSACCHARIDOSES,Mucopolysaccharidoses, 
REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS,Multifunctional anion exchangers, 
REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS,Muscarinic acetylcholine receptors, 
REACTOME_MUSCLE_CONTRACTION,Muscle contraction, 
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,MyD88-independent TLR4 cascade, 
REACTOME_MYOCLONIC_EPILEPSY_OF_LAFORA,Myoclonic epilepsy of Lafora, 
REACTOME_MYOGENESIS,Myogenesis, 
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION,N-Glycan antennae elongation, 
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI,N-glycan antennae elongation in the medial/trans-Golgi, 
REACTOME_N_GLYCAN_TRIMMING_AND_ELONGATION_IN_THE_CIS_GOLGI,N-glycan trimming and elongation in the cis-Golgi, 
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,N-glycan trimming in the ER and Calnexin/Calreticulin cycle, 
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS,Na+/Cl- dependent neurotransmitter transporters, 
REACTOME_NADE_MODULATES_DEATH_SIGNALLING,NADE modulates death signalling, 
REACTOME_NCAM1_INTERACTIONS,NCAM1 interactions, 
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,NCAM signaling for neurite out-growth, 
REACTOME_NECTIN_NECL_TRANS_HETERODIMERIZATION,Nectin/Necl  trans heterodimerization, 
REACTOME_NEDDYLATION,Neddylation, 
REACTOME_NEF_AND_SIGNAL_TRANSDUCTION,Nef and signal transduction, 
REACTOME_NEF_MEDIATED_CD4_DOWN_REGULATION,Nef Mediated CD4 Down-regulation, 
REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION,Nef Mediated CD8 Down-regulation, 
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,Nef mediated downregulation of MHC class I complex cell surface expression, 
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters, 
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,Negative epigenetic regulation of rRNA expression, 
REACTOME_NEGATIVE_FEEDBACK_REGULATION_OF_MAPK_PATHWAY,Negative feedback regulation of MAPK pathway, 
REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS,Negative regulation of activity of TFAP2 (AP-2) family transcription factors, 
REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING,Negative regulation of FGFR1 signaling, 
REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING,Negative regulation of FGFR2 signaling, 
REACTOME_NEGATIVE_REGULATION_OF_FGFR3_SIGNALING,Negative regulation of FGFR3 signaling, 
REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING,Negative regulation of FGFR4 signaling, 
REACTOME_NEGATIVE_REGULATION_OF_FLT3,Negative regulation of FLT3, 
REACTOME_NEGATIVE_REGULATION_OF_MAPK_PATHWAY,Negative regulation of MAPK pathway, 
REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY,Negative regulation of MET activity, 
REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION,Negative regulation of NMDA receptor-mediated neuronal transmission, 
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING,Negative regulation of NOTCH4 signaling, 
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_DVL_INTERACTING_PROTEINS,Negative regulation of TCF-dependent signaling by DVL-interacting proteins, 
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS,Negative regulation of TCF-dependent signaling by WNT ligand antagonists, 
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,Negative regulation of the PI3K/AKT network, 
REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING,Negative regulators of DDX58/IFIH1 signaling, 
REACTOME_NEPHRIN_FAMILY_INTERACTIONS,Nephrin family interactions, 
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,Nervous system development, 
REACTOME_NETRIN_1_SIGNALING,Netrin-1 signaling, 
REACTOME_NETRIN_MEDIATED_REPULSION_SIGNALS,Netrin mediated repulsion signals, 
REACTOME_NEUREXINS_AND_NEUROLIGINS,Neurexins and neuroligins, 
REACTOME_NEUROFASCIN_INTERACTIONS,Neurofascin interactions, 
REACTOME_NEURONAL_SYSTEM,Neuronal System, 
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS,Neurotoxicity of clostridium toxins, 
REACTOME_NEUROTRANSMITTER_CLEARANCE,Neurotransmitter clearance, 
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,Neurotransmitter receptors and postsynaptic signal transmission, 
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,Neurotransmitter release cycle, 
REACTOME_NEUTROPHIL_DEGRANULATION,Neutrophil degranulation, 
REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10, 
REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL,NF-kB is activated and signals survival, 
REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION,NGF-independant TRKA activation, 
REACTOME_NGF_STIMULATED_TRANSCRIPTION,NGF-stimulated transcription, 
REACTOME_NICOTINAMIDE_SALVAGING,Nicotinamide salvaging, 
REACTOME_NICOTINATE_METABOLISM,Nicotinate metabolism, 
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,Nitric oxide stimulates guanylate cyclase, 
REACTOME_NOD1_2_SIGNALING_PATHWAY,NOD1/2 Signaling Pathway, 
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,Non-integrin membrane-ECM interactions, 
REACTOME_NONCANONICAL_ACTIVATION_OF_NOTCH3,Noncanonical activation of NOTCH3, 
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ,Nonhomologous End-Joining (NHEJ), 
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,Nonsense-Mediated Decay (NMD), 
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE,Norepinephrine Neurotransmitter Release Cycle, 
REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING,NOSTRIN mediated eNOS trafficking, 
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,NOTCH1 Intracellular Domain Regulates Transcription, 
REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS,NOTCH2 Activation and Transmission of Signal to the Nucleus, 
REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,NOTCH2 intracellular domain regulates transcription, 
REACTOME_NOTCH3_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS,NOTCH3 Activation and Transmission of Signal to the Nucleus, 
REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,NOTCH3 Intracellular Domain Regulates Transcription, 
REACTOME_NOTCH4_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS,NOTCH4 Activation and Transmission of Signal to the Nucleus, 
REACTOME_NOTCH4_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,NOTCH4 Intracellular Domain Regulates Transcription, 
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY,Notch-HLH transcription pathway, 
REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING,NR1H2 and NR1H3-mediated signaling, 
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_GLUCONEOGENESIS,NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis, 
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis, 
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_TRIGLYCERIDE_LIPOLYSIS_IN_ADIPOSE,NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose, 
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_CONTROL_BILE_ACID_HOMEOSTASIS,NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis, 
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_LIMIT_CHOLESTEROL_UPTAKE,NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake, 
REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux, 
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK,NRAGE signals death through JNK, 
REACTOME_NRCAM_INTERACTIONS,NrCAM interactions, 
REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS,NRIF signals cell death from the nucleus, 
REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS,NS1 Mediated Effects on Host Pathways, 
REACTOME_NTRK2_ACTIVATES_RAC1,NTRK2 activates RAC1, 
REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN,Nuclear Envelope Breakdown, 
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,Nuclear Envelope (NE) Reassembly, 
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,Nuclear Events (kinase and transcription factor activation), 
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,Nuclear events mediated by NFE2L2, 
REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER,Nuclear events stimulated by ALK signaling in cancer, 
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN,Nuclear import of Rev protein, 
REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY,Nuclear Pore Complex (NPC) Disassembly, 
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,Nuclear Receptor transcription pathway, 
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,Nuclear signaling by ERBB4, 
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways", 
REACTOME_NUCLEOTIDE_BIOSYNTHESIS,Nucleotide biosynthesis, 
REACTOME_NUCLEOTIDE_CATABOLISM,Nucleotide catabolism, 
REACTOME_NUCLEOTIDE_EXCISION_REPAIR,Nucleotide Excision Repair, 
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS,Nucleotide-like (purinergic) receptors, 
REACTOME_NUCLEOTIDE_SALVAGE,Nucleotide salvage, 
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS,O-glycosylation of TSR domain-containing proteins, 
REACTOME_O_LINKED_GLYCOSYLATION,O-linked glycosylation, 
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,O-linked glycosylation of mucins, 
REACTOME_OAS_ANTIVIRAL_RESPONSE,OAS antiviral response, 
REACTOME_OLFACTORY_SIGNALING_PATHWAY,Olfactory Signaling Pathway, 
REACTOME_ONCOGENE_INDUCED_SENESCENCE,Oncogene Induced Senescence, 
REACTOME_ONCOGENIC_MAPK_SIGNALING,Oncogenic MAPK signaling, 
REACTOME_OPIOID_SIGNALLING,Opioid Signalling, 
REACTOME_OPSINS,Opsins, 
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,Orc1 removal from chromatin, 
REACTOME_OREXIN_AND_NEUROPEPTIDES_FF_AND_QRFP_BIND_TO_THEIR_RESPECTIVE_RECEPTORS,Orexin and neuropeptides FF and QRFP bind to their respective receptors, 
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,Organelle biogenesis and maintenance, 
REACTOME_ORGANIC_ANION_TRANSPORT,Organic anion transport, 
REACTOME_ORGANIC_ANION_TRANSPORTERS,Organic anion transporters, 
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT,Organic cation/anion/zwitterion transport, 
REACTOME_ORGANIC_CATION_TRANSPORT,Organic cation transport, 
REACTOME_OTHER_INTERLEUKIN_SIGNALING,Other interleukin signaling, 
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS,Other semaphorin interactions, 
REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES,Ovarian tumor domain proteases, 
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,Oxidative Stress Induced Senescence, 
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,p130Cas linkage to MAPK signaling for integrins, 
REACTOME_P2Y_RECEPTORS,P2Y receptors, 
REACTOME_P38MAPK_EVENTS,p38MAPK events, 
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,p75 NTR receptor-mediated signalling, 
REACTOME_P75NTR_NEGATIVELY_REGULATES_CELL_CYCLE_VIA_SC1,p75NTR negatively regulates cell cycle via SC1, 
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES,p75NTR recruits signalling complexes, 
REACTOME_P75NTR_REGULATES_AXONOGENESIS,p75NTR regulates axonogenesis, 
REACTOME_P75NTR_SIGNALS_VIA_NF_KB,p75NTR signals via NF-kB, 
REACTOME_PARACETAMOL_ADME,Paracetamol ADME, 
REACTOME_PARASITE_INFECTION,Parasite infection, 
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS,Passive transport by Aquaporins, 
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,PCNA-Dependent Long Patch Base Excision Repair, 
REACTOME_PCP_CE_PATHWAY,PCP/CE pathway, 
REACTOME_PD_1_SIGNALING,PD-1 signaling, 
REACTOME_PECAM1_INTERACTIONS,PECAM1 interactions, 
REACTOME_PENTOSE_PHOSPHATE_PATHWAY,Pentose phosphate pathway, 
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,Peptide hormone biosynthesis, 
REACTOME_PEPTIDE_HORMONE_METABOLISM,Peptide hormone metabolism, 
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,Peptide ligand-binding receptors, 
REACTOME_PERK_REGULATES_GENE_EXPRESSION,PERK regulates gene expression, 
REACTOME_PEROXISOMAL_LIPID_METABOLISM,Peroxisomal lipid metabolism, 
REACTOME_PEROXISOMAL_PROTEIN_IMPORT,Peroxisomal protein import, 
REACTOME_PEXOPHAGY,Pexophagy, 
REACTOME_PHASE_0_RAPID_DEPOLARISATION,Phase 0 - rapid depolarisation, 
REACTOME_PHASE_1_INACTIVATION_OF_FAST_NA_CHANNELS,Phase 1 - inactivation of fast Na+ channels, 
REACTOME_PHASE_2_PLATEAU_PHASE,Phase 2 - plateau phase, 
REACTOME_PHASE_3_RAPID_REPOLARISATION,Phase 3 - rapid repolarisation, 
REACTOME_PHASE_4_RESTING_MEMBRANE_POTENTIAL,Phase 4 - resting membrane potential, 
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,Phase I - Functionalization of compounds, 
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,Phase II - Conjugation of compounds, 
REACTOME_PHENYLALANINE_AND_TYROSINE_METABOLISM,Phenylalanine and tyrosine metabolism, 
REACTOME_PHENYLALANINE_METABOLISM,Phenylalanine metabolism, 
REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NTPDASE_PROTEINS,Phosphate bond hydrolysis by NTPDase proteins, 
REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NUDT_PROTEINS,Phosphate bond hydrolysis by NUDT proteins, 
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2,Phospholipase C-mediated cascade; FGFR2, 
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR4,Phospholipase C-mediated cascade; FGFR4, 
REACTOME_PHOSPHOLIPID_METABOLISM,Phospholipid metabolism, 
REACTOME_PHOSPHORYLATION_OF_EMI1,Phosphorylation of Emi1, 
REACTOME_PHOSPHORYLATION_OF_THE_APC_C,Phosphorylation of the APC/C, 
REACTOME_PHYSIOLOGICAL_FACTORS,Physiological factors, 
REACTOME_PI3K_AKT_ACTIVATION,PI3K/AKT activation, 
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,PI3K/AKT Signaling in Cancer, 
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING,PI3K events in ERBB2 signaling, 
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,PI3K events in ERBB4 signaling, 
REACTOME_PI5P_REGULATES_TP53_ACETYLATION,PI5P Regulates TP53 Acetylation, 
REACTOME_PI_3K_CASCADE_FGFR1,PI-3K cascade:FGFR1, 
REACTOME_PI_3K_CASCADE_FGFR2,PI-3K cascade:FGFR2, 
REACTOME_PI_3K_CASCADE_FGFR3,PI-3K cascade:FGFR3, 
REACTOME_PI_3K_CASCADE_FGFR4,PI-3K cascade:FGFR4, 
REACTOME_PI_METABOLISM,PI Metabolism, 
REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY,PINK1-PRKN Mediated Mitophagy, 
REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS,PIWI-interacting RNA (piRNA) biogenesis, 
REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING,PKA activation in glucagon signalling, 
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB,PKA-mediated phosphorylation of CREB, 
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS,PKA-mediated phosphorylation of key metabolic factors, 
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES,PKMTs methylate histone lysines, 
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY,Plasma lipoprotein assembly, 
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,"Plasma lipoprotein assembly, remodeling, and clearance", 
REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,Plasma lipoprotein clearance, 
REACTOME_PLASMA_LIPOPROTEIN_REMODELING,Plasma lipoprotein remodeling, 
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,"Platelet activation, signaling and aggregation", 
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,Platelet Adhesion to exposed collagen, 
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,Platelet Aggregation (Plug Formation), 
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS,Platelet calcium homeostasis, 
REACTOME_PLATELET_HOMEOSTASIS,Platelet homeostasis, 
REACTOME_PLATELET_SENSITIZATION_BY_LDL,Platelet sensitization by LDL, 
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,POLB-Dependent Long Patch Base Excision Repair, 
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS,Polo-like kinase mediated events, 
REACTOME_POLYMERASE_SWITCHING,Polymerase switching, 
REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE,Polymerase switching on the C-strand of the telomere, 
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,Positive epigenetic regulation of rRNA expression, 
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY,Post-chaperonin tubulin folding pathway, 
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS,Post-translational modification: synthesis of GPI-anchored proteins, 
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Post-translational protein modification, 
REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION,Postmitotic nuclear pore complex (NPC) reformation, 
REACTOME_POTASSIUM_CHANNELS,Potassium Channels, 
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS,Potential therapeutics for SARS, 
REACTOME_POU5F1_OCT4_SOX2_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation", 
REACTOME_POU5F1_OCT4_SOX2_NANOG_REPRESS_GENES_RELATED_TO_DIFFERENTIATION,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation", 
REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS,PP2A-mediated dephosphorylation of key metabolic factors, 
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,PRC2 methylates histones and DNA, 
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,Pre-NOTCH Expression and Processing, 
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI,Pre-NOTCH Processing in Golgi, 
REACTOME_PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM,Pre-NOTCH Processing in the Endoplasmic Reticulum, 
REACTOME_PREGNENOLONE_BIOSYNTHESIS,Pregnenolone biosynthesis, 
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING,Presynaptic depolarization and calcium channel opening, 
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS,Presynaptic function of Kainate receptors, 
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS,Presynaptic nicotinic acetylcholine receptors, 
REACTOME_PREVENTION_OF_PHAGOSOMAL_LYSOSOMAL_FUSION,Prevention of phagosomal-lysosomal fusion, 
REACTOME_PROCESSING_AND_ACTIVATION_OF_SUMO,Processing and activation of SUMO, 
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,Processing of Capped Intron-Containing Pre-mRNA, 
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA,Processing of Capped Intronless Pre-mRNA, 
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,Processing of DNA double-strand break ends, 
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS,Processing of Intronless Pre-mRNAs, 
REACTOME_PROCESSING_OF_SMDT1,Processing of SMDT1, 
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE,Processive synthesis on the C-strand of the telomere, 
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND,Processive synthesis on the lagging strand, 
REACTOME_PROGRAMMED_CELL_DEATH,Programmed Cell Death, 
REACTOME_PROLACTIN_RECEPTOR_SIGNALING,Prolactin receptor signaling, 
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS,Prolonged ERK activation events, 
REACTOME_PROPIONYL_COA_CATABOLISM,Propionyl-CoA catabolism, 
